Date,Team_A,Score_A,Score_B,Team_B,Winner
14-01-2023,Lecce,2,2,Milan,Draw
24-01-2023,Lazio,4,0,Milan,Lazio
29-01-2023,Milan,2,5,Sassuolo,Sassuolo
05-02-2023,Inter,1,0,Milan,Inter
10-02-2023,Milan,1,0,Torino,Milan
18-02-2023,Monza,0,1,Milan,Milan
26-02-2023,Milan,2,0,Atalanta,Milan
04-03-2023,Fiorentina,2,1,Milan,Fiorentina
13-03-2023,Milan,1,1,Salernitana,Draw
18-03-2023,Udinese,3,1,Milan,Udinese
02-04-2023,Napoli,0,4,Milan,Milan
07-04-2023,Milan,0,0,Empoli,Draw
15-04-2023,Bologna,1,1,Milan,Draw
23-04-2023,Milan,2,0,Lecce,Milan
29-04-2023,Roma,1,1,Milan,Draw
03-05-2023,Milan,1,1,Cremonese,Draw
06-05-2023,Milan,2,0,Lazio,Milan
13-05-2023,Spezia,2,0,Milan,Spezia
20-05-2023,Milan,5,1,Sampdoria,Milan
28-05-2023,Juventus,0,1,Milan,Milan
04-06-2023,Milan,3,1,Verona,Milan
13-08-2022,Monza,1,2,Torino,Torino
21-08-2022,Napoli,4,0,Monza,Napoli
26-08-2022,Monza,1,2,Udinese,Udinese
30-08-2022,Roma,3,0,Monza,Roma
05-09-2022,Monza,0,2,Atalanta,Atalanta
11-09-2022,Lecce,1,1,Monza,Draw
18-09-2022,Monza,1,0,Juventus,Monza
02-10-2022,Sampdoria,0,3,Monza,Monza
09-10-2022,Monza,2,0,Spezia,Monza
15-10-2022,Empoli,1,0,Monza,Empoli
22-10-2022,Milan,4,1,Monza,Milan
31-10-2022,Monza,1,2,Bologna,Bologna
06-11-2022,Monza,2,0,Verona,Monza
10-11-2022,Lazio,1,0,Monza,Lazio
13-11-2022,Monza,3,0,Salernitana,Monza
04-01-2023,Fiorentina,1,1,Monza,Draw
07-01-2023,Monza,2,2,Inter,Draw
14-01-2023,Cremonese,2,3,Monza,Monza
22-01-2023,Monza,1,1,Sassuolo,Draw
29-01-2023,Juventus,0,2,Monza,Monza
06-02-2023,Monza,2,2,Sampdoria,Draw
12-02-2023,Bologna,0,1,Monza,Monza
18-02-2023,Monza,0,1,Milan,Milan
26-02-2023,Salernitana,3,0,Monza,Salernitana
04-03-2023,Monza,2,1,Empoli,Monza
12-03-2023,Verona,1,1,Monza,Draw
18-03-2023,Monza,1,1,Cremonese,Draw
02-04-2023,Monza,0,2,Lazio,Lazio
08-04-2023,Udinese,2,2,Monza,Draw
15-04-2023,Inter,0,1,Monza,Monza
23-04-2023,Monza,3,2,Fiorentina,Monza
28-04-2023,Spezia,0,2,Monza,Monza
03-05-2023,Monza,1,1,Roma,Draw
